,Name,Mileage,Rating,Reviews Count,Dealer Name,Price
1051,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
1052,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
1053,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
1054,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
1055,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
1056,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
1057,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
1058,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
1059,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
1060,2018 Audi RS 3 2.5T,"32,483 mi.",4.4,(63 reviews),Kelly Motorcars,"$65,977"
1061,2011 Audi R8 5.2 quattro Spyder,"53,376 mi.",4.1,(297 reviews),Leesburg Auto Import,"$92,987"
1062,2018 Audi Q5 2.0T Tech Premium,"18,267 mi.",4.6,(546 reviews),AutoNation Toyota Spokane Valley,"$39,676"
1063,2021 Audi Q8 55 Premium,"10,950 mi.",4.8,"(4,547 reviews)",Motor Werks - Barrington Auto Mall,"$84,991"
1064,2015 Audi A6 2.0T Premium Plus,"68,672 mi.",4.6,(39 reviews),Platinum Motor Cars,"$24,990"
1065,2018 Audi Q7 3.0T Premium Plus,"28,579 mi.",3.9,(268 reviews),Audi Brooklyn,"$43,990"
1066,2021 Audi e-tron Premium,"3,818 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$67,998"
1067,2016 Audi A6 3.0T Premium Plus,"52,001 mi.",4.6,(584 reviews),Toyota of Gastonia,"$28,699"
1068,2021 Audi RS Q8 4.0T quattro,"4,169 mi.",4.7,"(1,109 reviews)",BMW of Freeport,"$149,943"
1069,2019 Audi Q8 3.0T Premium,"29,213 mi.",4.9,(591 reviews),Novak Motors,"$67,574"
1070,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
1071,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
1072,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
1073,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
1074,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
1075,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
1076,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
1077,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
1078,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
1079,2018 Audi RS 3 2.5T,"32,483 mi.",4.4,(63 reviews),Kelly Motorcars,"$65,977"
1080,2011 Audi R8 5.2 quattro Spyder,"53,376 mi.",4.1,(297 reviews),Leesburg Auto Import,"$92,987"
1081,2018 Audi Q5 2.0T Tech Premium,"18,267 mi.",4.6,(546 reviews),AutoNation Toyota Spokane Valley,"$39,676"
1082,2021 Audi Q8 55 Premium,"10,950 mi.",4.8,"(4,547 reviews)",Motor Werks - Barrington Auto Mall,"$84,991"
1083,2015 Audi A6 2.0T Premium Plus,"68,672 mi.",4.6,(39 reviews),Platinum Motor Cars,"$24,990"
1084,2018 Audi Q7 3.0T Premium Plus,"28,579 mi.",3.9,(268 reviews),Audi Brooklyn,"$43,990"
1085,2021 Audi e-tron Premium,"3,818 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$67,998"
1086,2016 Audi A6 3.0T Premium Plus,"52,001 mi.",4.6,(584 reviews),Toyota of Gastonia,"$28,699"
1087,2021 Audi RS Q8 4.0T quattro,"4,169 mi.",4.7,"(1,109 reviews)",BMW of Freeport,"$149,943"
1088,2019 Audi Q8 3.0T Premium,"29,213 mi.",4.9,(591 reviews),Novak Motors,"$67,574"
1089,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
1090,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
1091,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
1092,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
1093,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
1094,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
1095,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
1096,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
1097,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
1098,2018 Audi RS 3 2.5T,"32,483 mi.",4.4,(63 reviews),Kelly Motorcars,"$65,977"
1099,2011 Audi R8 5.2 quattro Spyder,"53,376 mi.",4.1,(297 reviews),Leesburg Auto Import,"$92,987"
1100,2018 Audi Q5 2.0T Tech Premium,"18,267 mi.",4.6,(546 reviews),AutoNation Toyota Spokane Valley,"$39,676"
1101,2021 Audi Q8 55 Premium,"10,950 mi.",4.8,"(4,547 reviews)",Motor Werks - Barrington Auto Mall,"$84,991"
1102,2015 Audi A6 2.0T Premium Plus,"68,672 mi.",4.6,(39 reviews),Platinum Motor Cars,"$24,990"
1103,2018 Audi Q7 3.0T Premium Plus,"28,579 mi.",3.9,(268 reviews),Audi Brooklyn,"$43,990"
1104,2021 Audi e-tron Premium,"3,818 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$67,998"
1105,2016 Audi A6 3.0T Premium Plus,"52,001 mi.",4.6,(584 reviews),Toyota of Gastonia,"$28,699"
1106,2021 Audi RS Q8 4.0T quattro,"4,169 mi.",4.7,"(1,109 reviews)",BMW of Freeport,"$149,943"
1107,2019 Audi Q8 3.0T Premium,"29,213 mi.",4.9,(591 reviews),Novak Motors,"$67,574"
1108,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
1109,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
1110,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
1111,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
1112,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
1113,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
1114,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
1115,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
1116,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
1117,2018 Audi RS 3 2.5T,"32,483 mi.",4.4,(63 reviews),Kelly Motorcars,"$65,977"
1118,2011 Audi R8 5.2 quattro Spyder,"53,376 mi.",4.1,(297 reviews),Leesburg Auto Import,"$92,987"
1119,2018 Audi Q5 2.0T Tech Premium,"18,267 mi.",4.6,(546 reviews),AutoNation Toyota Spokane Valley,"$39,676"
1120,2021 Audi Q8 55 Premium,"10,950 mi.",4.8,"(4,547 reviews)",Motor Werks - Barrington Auto Mall,"$84,991"
1121,2015 Audi A6 2.0T Premium Plus,"68,672 mi.",4.6,(39 reviews),Platinum Motor Cars,"$24,990"
1122,2018 Audi Q7 3.0T Premium Plus,"28,579 mi.",3.9,(268 reviews),Audi Brooklyn,"$43,990"
1123,2021 Audi e-tron Premium,"3,818 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$67,998"
1124,2016 Audi A6 3.0T Premium Plus,"52,001 mi.",4.6,(584 reviews),Toyota of Gastonia,"$28,699"
1125,2021 Audi RS Q8 4.0T quattro,"4,169 mi.",4.7,"(1,109 reviews)",BMW of Freeport,"$149,943"
1126,2019 Audi Q8 3.0T Premium,"29,213 mi.",4.9,(591 reviews),Novak Motors,"$67,574"
1127,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
1128,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
1129,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
1130,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
1131,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
1132,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
1133,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
1134,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
1135,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
1136,2018 Audi RS 3 2.5T,"32,483 mi.",4.4,(63 reviews),Kelly Motorcars,"$65,977"
1137,2011 Audi R8 5.2 quattro Spyder,"53,376 mi.",4.1,(297 reviews),Leesburg Auto Import,"$92,987"
1138,2018 Audi Q5 2.0T Tech Premium,"18,267 mi.",4.6,(546 reviews),AutoNation Toyota Spokane Valley,"$39,676"
1139,2021 Audi Q8 55 Premium,"10,950 mi.",4.8,"(4,547 reviews)",Motor Werks - Barrington Auto Mall,"$84,991"
