,Movie Title,Year,Duration,Genre,Rating
159,Argo,2012,120 min,"Biography, Drama, Thriller            ",7.7
160,Ella,2013,126 min,"Drama, Romance, Sci-Fi            ",8.0
161,Star Trek - Viaje a las estrellas,2009,127 min,"Action, Adventure, Sci-Fi            ",7.9
162,Green Book: Una amistad sin fronteras,2018,130 min,"Biography, Comedy, Drama            ",8.2
163,The Pianist,2002,150 min,"Biography, Drama, Music            ",8.5
164,Malèna,2000,108 min,"Comedy, Drama, Romance            ",7.5
165,Ad Astra,2019,123 min,"Adventure, Drama, Mystery            ",6.5
166,The Martian,2015,144 min,"Adventure, Drama, Sci-Fi            ",8.0
167,La forma del agua,2017,123 min,"Adventure, Drama, Fantasy            ",7.3
168,The Mask,1994,101 min,"Action, Comedy, Crime            ",6.9
169,"Three Billboards Outside Ebbing, Missouri",2017,115 min,"Comedy, Crime, Drama            ",8.1
170,The Lion King,1994,88 min,"Animation, Adventure, Drama            ",8.5
171,Rocketman,I 2019,121 min,"Biography, Drama, Musical            ",7.3
172,Fargo,1996,98 min,"Crime, Drama, Thriller            ",8.1
173,Love and Monsters,I 2020,109 min,"Action, Adventure, Comedy            ",7.0
174,Iron Man Three,2013,130 min,"Action, Adventure, Sci-Fi            ",7.1
175,The Hobbit: The Desolation of Smaug,2013,161 min,"Adventure, Fantasy            ",7.8
176,The Town,2010,125 min,"Crime, Drama, Thriller            ",7.5
177,Into the Wild,2007,148 min,"Adventure, Biography, Drama            ",8.1
178,Rogue One,2016,133 min,"Action, Adventure, Sci-Fi            ",7.8
179,"Monsters, Inc.",2001,92 min,"Animation, Adventure, Comedy            ",8.1
180,Greyhound,2020,91 min,"Action, Drama, History            ",7.0
181,Jagten,2012,115 min,Drama            ,8.3
182,What's Eating Gilbert Grape,1993,118 min,Drama            ,7.7
183,Cars,2006,117 min,"Animation, Adventure, Comedy            ",7.1
184,"Las crónicas de Narnia - El león, la bruja y el ropero",2005,143 min,"Adventure, Family, Fantasy            ",6.9
185,Frozen,I 2013,102 min,"Animation, Adventure, Comedy            ",7.4
186,Ford v Ferrari,2019,152 min,"Action, Biography, Drama            ",8.1
187,Star Wars: Episode VIII - The Last Jedi,2017,152 min,"Action, Adventure, Fantasy            ",6.9
188,Death Becomes Her,1992,104 min,"Comedy, Fantasy, Horror            ",6.6
189,Sleepers,1996,147 min,"Crime, Drama, Thriller            ",7.6
190,Black Hawk Down,2001,144 min,"Drama, History, War            ",7.7
191,La langosta,2015,119 min,"Comedy, Drama, Romance            ",7.2
